label,message,message_length
0,hi yijue regarding textbook intro algorithm second edition im selling,121
0,problem baby good time talk called left message,77
0,guy,23
0,time think youll need know near campus,77
0,ok thats great thanx lot,28
0,download clear movie dvd copy,44
0,thanks understanding ive trying tell sura,61
1,urgent week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw,155
0,maybe westshore hyde park village place near house,62
1,dear voucher holder next meal u use following link pc enjoy dining experiencehttpwwwvouchmecometlpdiningasp,153
0,gr handle victoria island traffic plus whens album due,80
0,even friend priest call,48
1,customer service annoncement new year delivery waiting please call arrange delivery,124
0,thanx day u r goodmate think ur rite sary asusual u cheered love u franyxxxxx,95
0,kkadvance happy pongal,26
0,huh fast dat mean u havent finished painting,52
0,buy,11
0,battery mr adewale uncle aka egbon,49
0,watching telugu moviewat abt u,33
0,said kiss kiss cant sound effect gorgeous man isnt kind person need smile brighten day,133
0,yes appt,27
0,yar wanted scold u yest late already got zhong se qing u ask b ask ill go w u lor n u still act real,160
0,ok wont call disturb one know avoiding burden,84
0,watching ajith film ah,23
1,today offer claim ur worth discount voucher text yes savamob member offer mobile c sub unsub reply x,158
0,watching tv got new job,33
1,heard u call rude chat private line cum wan c pic gettin shagged text pix end send stop sam xxx,160
0,one week leave put know time,46
0,borrow ur bag ok,19
0,e timing go w u lor,37
0,sad story man last week bday wife didnt wish parent forgot n kid went work even colleague wish entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went said u mind go bedroom minute ok sed sexy mood came minuts latr wid caken wife parent kidz friend n colleague screaming surprise waiting sofa naked,588
0,meeting rite ill go home lor dun feel like comin ok,84
0,im love im excited day spend make happy,85
0,shb b ok lor thanx,24
0,want bold bb torch,30
1,private account statement show unredeemed bonus point claim call identifier code expires,144
0,also ive sorta blown couple time recently id rather text blue looking weed,116
0,anything,11
0,hello boytoy geeee im missing today like send tm remind im thinking loved loving kiss,146
0,oh howda gud gud mathe en samachara chikku,47
0,r u meeting da ge nite tmr,30
0,dear got bus directly calicut,32
0,ok c u,13
0,sfrom training manual show tech processits password reset troubleshooting,113
1,dear uve invited xchat final attempt contact u txt chat,90
1,polyphonic tone ur mob every week txt pt st tone free get txtin tell ur friend ptone reply hl info,147
1,guess ithis first time created web page wwwasjesuscom read wrote im waiting opinion want friend,152
0,gud mrng dear hav nice day,28
0,love brother time talk english grin say hey muhommad penny say hello across sea,147
0,oh icic k lor den meet day,42
0,smith waste dai wan na gayle,29
0,case wake wondering forgot take care something grandma today done parade,135
0,blanket sufficient thx,34
0,oh k kbut big hitteranyway good,46
0,kindly send one flat ltdecimalgt today,64
0,dont gim lip caveboy,27
0,lay man let know missed thought great day send bimbo ugos number ill appreciate safe,155
0,running managed minute needed oxygen might resort roller option,106
0,anything lor go go lor,44
0,slept timeyou,32
0,nw came hme da,26
0,hey there veggie pizza,31
0,hey told name gautham ah,37
0,jesus armand really trying tell everybody find,59
0,youve already got flaky parent itsnot supposed child job support parentnot theyre ride age anyway im supposed support ive hurt unintentional hurt nonetheless,237
0,im office call ltgt min,53
1,boltblue tone p reply poly mono eg poly cha cha slide yeah slow jamz toxic come stop tone txt,146
0,haha first person gon na ask,47
0,back good journey let know need receipt shall tell like pendent,104
0,dunno jus say go lido time,40
0,sign maturity start saying big thing actually start understanding small thing nice evening bslvyl,154
0,cocksucker make feel better ipads worthless garbage novelty item feel bad even wanting one,133
0,thank callingforgot say happy onam sirjii fine remembered met insurance personmeet qatar insha allahrakhesh ex tata aig joined tisscotayseer,202
0,well there still bit left guy want tonight,57
0,unfortunately ive found pick sister airport evening dont think ill going try go one th,172
0,ball moving lotwill spin last difficult bat,67
1,mobile mths update latest cameravideo phone free keep ur number get extra free minstexts text yes call,143
0,wish thing different wonder able show much value pls continue brisk walk drug without askin please find thing laugh love dearly,205
0,thats haf combine n c lor,41
1,double min txts month free bluetooth orange available sony nokia motorola phone call mobileupd calloptoutndx,149
0,pathaya enketa maraikara pa,28
0,hey chief give bell get need talk royal visit st june,113
0,much r willing pay,28
0,woke yeesh late didnt fall asleep til ltgt,74
0,reached home tired come tomorro,71
0,jus an lar ull noe later,31
0,okey dokey swashbuckling stuff oh,39
1,tddnewsletteremccouk game thedailydraw dear helen dozen free game great prizeswith,114
0,messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom,152
0,tuition hm go one mind,69
0,wats da model num ur phone,31
0,otherwise part time job natuition,40
0,yeah wouldnt leave hour least hows sound,59
1,camera awarded sipix digital camera call fromm landline delivery within day,106
0,yupz ive oredi booked slot weekend liao,54
0,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheer,189
0,get opinion something first,42
0,god picked flower dippeditinadew lovingly touched itwhichturnedinto u gifted tomeandsaidthis friend u,128
1,tfp,13
0,hey almost forgot happy bday babe love ya,57
0,think mentor percent sure,50
0,wont b trying sort house ok,60
0,started searching get job dayshe great potential talent,87
0,pas dis ur contact n see wat u get redim luv wid u blueu put smile face purpleu r realy hot pinku r swt orangei thnk lyk u greeni realy wana go wid u yelowi wnt u bck blackim jealous u browni miss nw plz giv one color,276
0,late said website didnt dont slipper,78
0,sent ltgt buck,28
1,nokia get win free auction take part send nokia hgsuitelands rowwjhl,150
0,nicenicehow working,28
0,wifehow knew time murder exactly,44
0,night worrying appt shame missed girl night quiz popcorn hair,133
0,much getting,24
0,package program well,30
0,nottel software name,24
1,new local date area lot new people registered area reply date start wwwflirtpartyus reply,143
1,guaranteed award even cashto claim ur award call free stop getstop php,131
0,gon na let know co come bak holiday day coming dontgettext number,95
0,good afternoon babe go day job prospect yet miss love sigh,105
0,cute thought friendship necessary share every secret ur close frnd watever u shared true,132
1,dont know u u dont know send chat let find pmsg rcvd hgsuitelandsrowwjhl ldn year,158
0,hello site download song urgent pls,53
0,decided people care stuff vote caring stuff loser,93
0,know dat feelin pete wuld get em nuther place nuther time mayb,85
0,anyway seriously hit youre back otherwise light armand always shit andor vomiting,134
0,purity friendship two smiling reading forwarded messageits smiling seeing name gud evng,142
0,r u scratching,23
1,currently message awaiting collection collect message call,100
0,yup izzit still raining heavily co im e mrt cant c outside,68
0,ho ho big belly laugh see ya tomo,36
0,ummmawill call check inour life begin qatar pls pray hard,84
1,free video camera phone half price line rental mths cross ntwk min txts call mobileupd calloptout,145
0,dont necessarily expect done get back though im headin,97
0,yes dont care need bad princess,46
0,wonderful okors great month cherish guy wish well day mojibiola,101
1,camera awarded sipix digital camera call fromm landline delivery within day,105
0,babe fucking love know fuck good hear voice need crave cant get enough adore ahmad kiss,157
0,thk em find wtc far weiyi goin e rest dunno yet r ur goin dinner den might b able join,123
0,aight fuck ill get later,32
0,ok lor msg b u call,25
0,went ur hon lab one,41
0,cant right second got ta hit people first,52
0,dunno lei thk mum lazy go neva ask yet,62
0,sent jd customer service cum account executive ur mail id detail contact u,97
0,want inside every night,38
0,argh fuck nobody town,39
0,going sao mu today done,52
1,text get ringtones logo game wwwtxtcom question infotxtcouk,101
0,u noe wat time e place dat sell close,46
1,registered optin subscriber ur draw gift voucher entered receipt correct an whats bbc chart,141
0,id onluy matter getting offcampus,47
0,available soiree june rd,41
1,new message please call,48
0,aight thatll work thanks,26
0,dont understand message,31
0,problem,30
0,sorry missed babe late slept hope enjoy driving lesson boytoy miss teasing kiss,132
0,got new year co yetunde said wanted surprise didnt see money returned mid january ltgt day return period ended,180
0,aiyah sorry lor watch tv watch forgot check phone,68
0,forgot ask smth there card da present lei want write smth sign,107
0,valuable affectionate loveable eternal noble truthful intimate natural enamous happy valentine day advance,130
0,detroit home snow enjoy,36
0,im going bath msg next ltgt min,54
0,hello good week fancy drink something later,51
0,smile pleasure smile pain smile trouble pours like rain smile sum hurt u smile becoz someone still love see u smiling,141
0,ill mu like ltgt second,41
0,hello news job making wait fifth week yeah im woozles weasel exeter still home,142
0,took hooch walk toaday fell splat grazed knee everything stayed home see tomorrow,134
0,ill see prolly yeah,25
0,carlos took leave minute,49
0,yar lor keep raining non stop u wan go elsewhere,60
0,whatever juliana whatever want,40
0,thanks bomb date phone wanted say,58
0,v fan,13
0,promise though havent even gotten dinner yet,60
0,nice day today love dearly,47
0,said look pretty wif long hair wat thk he cutting quite short leh,85
0,ok said ive got wisdom teeth hidden inside n mayb need remove,77
0,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss,152
0,good morning dear shijutta great amp successful day,75
0,party place usf charge contribute way greatly appreciated yeah got room one,137
0,came hostel going sleep plz call class hrishi,71
0,much buzy,22
0,kkgoodstudy well,23
0,pride im almost ltgt year old shouldnt takin money kid youre supposed deal stuff grownup stuffwhy dont tell,192
0,end might still vomit okay everything come,76
0,ok would b lovely u r sure think wot u want drinkin dancin eatin cinema u wot,138
0,motivate behind every darkness shining light waiting find behind every best friend always trust love bslvyl,153
0,thts god gift bird human hav natural gift frm god,67
0,wheres boytoy miss happened,48
0,height recycling read twice people spend time earning money money spent spending time good morning keep smiling,149
0,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay gud mrng,156
0,work ah den plus lor u workin oso rite den go orchard lor place go liao,107
0,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose,149
0,think still car,32
0,pls call da happen,28
1,contract mobile mnths latest motorola nokia etc free double min text orange tariff text yes callback remove record,160
0,hey want anything buy,33
0,anything specific regard jaklin idk fuck,104
0,good night going sleep,30
0,u love someone dont make love u much u love much dont want loved anyone except gud nit,148
0,pls need dat slowly vomit,51
0,yo call get chance friend mine wanted ask big order,92
0,noe la u wana pei bf oso rite k lor day den,62
0,havent found way get another app phone eh go net cafe take job geeee need babe crave see,158
0,cool like swimming pool jacuzzi house,66
0,usually take fifteen fucking minute respond yes question,80
0,tirupur call da,30
0,bluray player,28
0,hows feel mr real valentine yo valentine even tho u hardly play,91
0,anything lor coming,27
1,reply win weekly fifa world cup held send stop end service,103
0,many people seems special first sight remain special till last sight maintain till life end shjas,156
0,nobody decide eat dad want chinese,52
0,hello sort town already dont rush home eating nacho let know eta,104
0,leaving qatar tonite search opportunityall went fastpls add ur prayer dearrakhesh,103
1,gr new service live sex video chat mob see sexiest dirtiest girl live ur phone detail text horny cancel send stop,160
0,like italian food,25
0,kgive back thanks,23
0,thats fine give call know want question,83
0,he adult would learn experience there real danger dont like peep using drug dont need comment,140
0,many time told stage use laugh listen aha,72
0,k im leaving soon little,45
0,huh early dinner outside izzit,50
0,yo howz u girl never rang india l,43
0,ill meet lobby,26
1,simpson movie released july name band died start film agreen day bblue day cred day send b c,146
1,hi im sue year old work lapdancer love sex text live im bedroom text sue textoperator g da ppmsg,158
0,forced eat slice im really hungry tho suck mark getting worried know im sick turn pizza lol,144
0,full heat pa applyed oil pa,38
0,hows scotland hope showing jjc tendency take care live dream,95
0,small problem auctionpunj asking tiwary,48
0,simple arithmetic percentage,47
1,gsoh good spam ladiesu could b male gigolo join uk fastest growing men club reply oncall mjzgroup stop reply stop msgrcvd,166
0,know wot people wear shirt jumper hat belt know r cribbs,87
0,haha awesome minute,34
0,im leaving house,25
0,sent ur email id soon,24
0,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning,165
0,u ever get song stuck head reason wont go away til u listen like time,107
0,haha mayb ure rite u know well da feeling liked someone gd lor u faster go find one gal group attached liao,149
0,give time walk,34
0,im taking derek amp taylor walmart im back time youre done leave mouse desk ill text priscillas ready,154
0,u workin overtime nigpun,28
0,meeting u work tel shall work tomorrow,65
0,b going esplanade fr home,36
0,ya nice ready thursday,37
0,dunno wat get,30
0,theoretically yeah could able come,44
0,make lasagna vodka,38
0,got divorce lol shes,33
0,lover need,36
1,guaranteed latest nokia phone gb ipod mp player prize txt wordcollect tcllc nyusa pmt msgrcvd,158
0,dad say hurry hell,26
0,love want flood pretty pussy cum,54
0,ok lar u sleep early nite,41
0,thats cool day,29
0,pls pls send mail know relative coming deliver know cost risk benefit anything else thanks,155
0,howz person story,23
1,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer service,157
0,im movie call wat,30
1,p alfie moon child need song ur mob tell ur m txt tone charity nokias poly charity polys zed profit charity,160
0,sad story man last week bday wife didnt wish parent forgot n kid went work even colleague wish,154
0,ok tell stay yeah tough optimistic thing improve month,105
0,wuld without baby thought alone mite break dont wan na go crazy everyboy need lady xxxxxxxx,128
0,willing go aptitude class,41
0,yes nigh cant aha,23
0,hi mom might back later ltgt,46
0,please come imin towndontmatter urgoin outlrjust reallyneed docdplease dontplease dontignore mycallsu thecd isvimportant tome moro,159
1,mobile mths update latest orange cameravideo phone free save free textsweekend call text yes callback orno opt,157
0,alex say he ok ok,51
0,haha money leh later got go tuition haha looking empty slot driving lesson,108
0,sir hope day going smoothly really hoped wont bother bill cant settle month extra cash know challenging time also let know,243
0,neither sterm voice im studying fine sure thing resolved tho anyway fab hols,125
0,way,14
0,stop old man get build snowman snow angel snowball fight,84
0,many thing antibiotic used chest abdomen gynae infection even bone infection,113
0,da good good playerwhy unsold,40
0,fyi im usf swing room whenever,46
0,agree stop thinkin ipad please ask macho question,86
0,yar tot u knew dis would happen long ago already,54
0,shall call dear food,31
0,friend use call,32
0,hope ur head doesnt hurt much ploughing way pile ironing staying chinky tonight come round like,139
0,ya telling abt tht incident,34
0,ok lor thanx school,28
0,amazing quote sometimes life difficult decide whats wrong lie brings smile truth brings tear,141
0,jus came back fr lunch wif si u leh,46
0,posible dnt live ltgt century cm frwd n thnk different,67
1,congrats year special cinema pas call c suprman v matrix starwars etc free bxipwe pm dont miss,161
0,whatsup dont u want sleep,35
0,hi mobile ltgt added contact list wwwfullonsmscom great place send free sm people visit fullonsmscom,158
0,awesome question cute answer someone asked boy ur life smiled amp answered fine gudnite,131
0,aiyo bit pai seh noe scared dun rem die hee become better lookin oredi leh,114
0,wish,25
0,got look scrumptious daddy want eat night long,70
1,life never much fun great came made truly special wont forget enjoy one gbpsms,136
0,shopping eh ger toking abt syd lehhaha,44
0,reach office around ltdecimalgt amp mobile problem cannt get voice call asa ill free,126
0,got xmas radio time get,55
0,nope im still market,29
0,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply,136
1,freeday sexy st george day pic jordantxt pic dont miss every wk saucy celeb pic c pocketbabecouk wk,154
0,ok good making money,47
1,thank winner notified sm good luck future marketing reply stop customer service,115
0,training tomorrow,31
0,u wake already thanx e tau sar piah quite nice,58
0,dare change ring,27
0,wen u miss someone person definitely special u person special miss keepintouch gdeve,141
0,meet corporation st outside gap see mind working,76
0,freezing home yet remember kiss mom morning love think missing yet,152
0,hi dear saw dear happy battery low,67
0,emailed yifeng part oredi get fr,54
0,tunde wishing great day abiola,71
0,finish already yar keep saying mushy embarrassed ok,72
0,u guy never invite anywhere,34
0,fffff text kadeem far gone,50
0,dont know support as srt thnk think p play usb,75
0,dunno da next show aft toa payoh got,51
0,havent eaten day im sitting staring juicy pizza cant eat med ruining life,119
0,doesnt make sense take unless free need know wikipediacom,94
0,bring got,22
0,say slowly godi love amp need youclean heart bloodsend ten special people amp u c miracle tomorrow itplspls,163
0,gud mrng dear hav nice day,28
0,g want know fuck,38
0,officewhats mattermsg nowi call break,72
0,confirm eating esplanade,31
0,ltgt fast approaching wish u happy new year happy sankranti happy republic day happy valentine day happy shivratri happy ugadi happy fool day happy may day happy independence day happy friendshipmotherfatherteacherschildrens day amp happy birthday u happy ganesh festival happy dasara happy diwali happy christmas ltgt good morning afternoon evening night rememberi first wishing u theseyours raj,461
1,free unlimited hardcore porn direct mobile txt porn get free access hr chrgdp per day txt stop exit msg free,152
0,happy new year princess,24
0,uncle abbey happy new year abiola,35
0,thats rude campus,32
0,time thinkin goin,30
0,planning usually stop find hella weed smoke hella weed,64
0,entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went,156
1,ur cashbalance currently pound maximize ur cashin send go pmsg cc hgsuitelands rowwjhl,145
0,alright took morphine back yo,38
0,ryder unsoldnow gibbs,23
0,lil fever fine,22
0,wish great semester,38
1,u nokia plus free digital camera u get u win free auction take part send nokia poboxtcrw,158
0,aiyah u ok already lar e nydc wheellock,48
0,im tired arguing week week want ill,109
1,wow boy r back take uk tour win vip ticket prebook vip club txt club trackmarque ltd infovipclubu,138
0,thanks sending mental ability question,49
0,parent kidz friend n colleague screaming surprise waiting sofa naked,130
0,fujitsu series lifebook good,34
1,moby pub quizwin high street prize u know new duchess cornwall txt first name unsub stop sp arrow,160
0,done internet connection v slow cant send try later first thing tomo,99
0,yup hey one day fri ask miwa jiayin take leave go karaoke,80
0,ahhhhjust woken uphad bad dream u thoso dont like u right didnt know anything comedy night guess im,146
0,also maaaan missing,31
0,sorry ill call later,22
0,wow v v impressed fun shopping,38
0,u dont remember old commercial,37
0,alrite hunnywot u nite didnt end goin town jus da pub instead jus chillin da mo bedroomlove jen xxx,127
0,nothing smsing u n xy lor sorry lor da guy neva c u person sort know u lor u wan meet xy ask bring u along next meeting,160
0,gr see message r u leaving congrats dear school wat r ur plan,96
0,nvm im going wear sport shoe anyway im going late leh,75
0,whats bruv hope great break rewarding semester,73
0,one best dialogue cute reltnship wen die dont come near body bcoz hand may come wipe ur tear timegud ni,148
0,make girl happy difficult make girl happy u need friend companion lover chef ltgt good listener ltgt organizer ltgt good boyfriend ltgt clean ltgt sympathetic ltgt athletic ltgt warm ltgt courageous ltgt determined ltgt true ltgt dependable ltgt intelligent ltgt psychologist ltgt pest exterminator ltgt psychiatrist ltgt healer ltgt stylist ltgt driver aaniye pudunga venaam,611
0,make fuck sake x,29
0,think far find check google map place dorm,90
0,ltgt pple marry lover becz hav gud undrstndng dat avoids problem sent dis u u wil get gud news friday person like tomorrow best day life dont break chain break suffer send ltgt frnds ltgt min whn u read,327
0,really need shit tomorrow know wont awake like,83
0,office na,23
0,kallis ready bat nd inning,38
0,thanks tescos quite nice gone speak soon,73
0,hey glad u r better hear u treated urself digi cam good r pm fab new year c u coupla wks,139
0,got outta class gon na go gym,34
0,infact happy new year seeing,67
0,dont worry guess he busy,30
0,see knew giving break time woul lead always wanting miss curfew gon na gibe til one midnight movie gon na get til need come home need getsleep anything need b studdying ear training,276
0,latest g still scrounge ammo want give new ak try,99
0,got like ltgt get later though get whatever feel like,85
0,sorry ill call later,22
0,carlos say hell mu ltgt minute,49
0,hi spoke maneesha v wed like know satisfied experience reply toll free yes,126
0,come din c yup cut hair,42
1,free top polyphonic tone call national rate get toppoly tune sent every week text subpoly per pole unsub,157
0,im home doc gave pain med say everything fine,56
0,thanx,8
0,okay lor wah like def wont let u go haha say term condition,110
0,sleepingand surfing,26
0,said right giggle saw u would possibly first persondie nvq think much could,143
0,yeshe really greatbhaji told kallis best cricketer sachin worldvery tough get,104
0,hello got st andrewsboy long way cold keep posted,85
0,jot thing want remember later,51
0,evo download flash jealous,47
0,awesome remember last time got somebody high first time diesel v,88
0,lol nah wasnt bad thanks good b home quite reality check hows ur day u anything website,136
0,asking u knw nt may ur frnds classmate,58
0,oh great ill disturb talk,52
1,free st week nokia tone ur mob every week txt nokia get txting tell ur mate zed pobox wwq normptone,147
0,able anything,24
0,talk atleast day otherwise miss best friend world shakespeare shesil ltgt,139
0,geeee miss already know think fuck cant wait till next year together loving kiss,145
0,dont know oh hopefully month,37
0,havent lei next mon,28
0,yeah think use gt atm register sure there anyway help let know sure ready,159
0,god blessget good sleep deari pray,47
0,hello thanx taking call got job start monday,65
0,he lag thats sad part keep touch thanks skype,74
0,wonder got online love gone net cafe get phone recharged friend net think boytoy,155
1,new mobile must go txt nokia collect today wwwtcbiz optout gbpmtmsg txtauction,152
0,lol u still feeling sick,25
0,one talking,29
0,ok bag,21
1,urgent please call landline cash luxury canary island holiday await collection tc sae po box mxy ppm,154
0,sell well ton coin sell coin someone thru paypal voila money back life pocket,126
0,shit wasnt surprised went spent evening french guy met town fooled around bit didnt let fuck,165
0,okie,7
0,mmm yummy babe nice jolt suzy,43
0,sunny california weather cool,48
1,hey boy want hot xxx pic sent direct ur phone txt porn hr free p per day stop text stopbcm sf wcnxx,140
0,much torch ja,25
0,im bus love,24
1,important customer service announcement premier,65
0,treasure every moment spend together,49
1,urgent call landline complimentary ibiza holiday cash await collection sae tc po box sk wp ppm,152
0,dont want hear philosophy say happen,52
0,beautiful truth gravity read carefully heart feel light someone feel heavy someone leaf goodmorning,158
0,world running stillmaybe feeling sameso itor admiti madthen correctionor let call lifeand keep running worldmay u r also runninglets run,226
0,one teach ship car,59
0,umma life vava umma love lot dear,44
0,nobut heard abt tat,23
0,didnt hear,28
0,xy trying smth u eat already havent,47
0,thats thing ape u fight death keep something minute u let go thats,124
1,hack chat get backdoor entry chat room fraction cost reply neo call subscribe p pm dp bcm box ldn wcnxx,161
1,ur chance win wkly shopping spree txt shop tscs wwwtxtshopcom custcare xpwk,126
0,pls give prometazine syrup ml ltgt min later feed,69
0,fuck babe happened come never came back,66
0,im home ard wat time u reach,36
0,im office dawhere,36
0,princess bet brothas chasing,61
0,pls whats full name joke school co fee university florida seem actually ltgt k pls holla back,124
0,gosh pain spose better come,50
0,good evening ttyl,25
0,need lar go engin co si art today,51
0,thanks hope good day today,45
0,shes drinkin im ok,28
0,need say anything know outsider,54
1,cmon babe make horny turn txt fantasy babe im hot sticky need reply cost cancel send stop,147
0,didnt see shadow get early spring yay,52
0,come mu sorting narcotic situation,53
0,co lar im ba dao ok pm lor u never ask go ah said u would ask fri said u ask today,140
0,huh cant go ur house empty handed right,48
0,jus telling u dat ill b leaving shanghai st instead well haf time meet cya,99
0,heard job im going wildlife talk tonight u wantcome thatworzels wizzle whatever,143
0,goodmorning today late ltgt min,48
1,chosen receive award pls call claim number collect award selected receive valued mobile customer,158
0,sure driving reach destination soon,54
0,sorry brah finished last exam,55
0,dont know come ask question like dont mistake,94
0,sir need axis bank account bank address,50
0,oh god im almost home,26
0,finally happened aftr decade beer cheaper petrol goverment expects u drink dont drive,135
0,cool breeze bright sun fresh flower twittering bird waiting wish u goodmorning amp nice day,132
0,started skye,24
0,finally ready fyi,23
0,boo im way mom shes making tortilla soup yummmm,64
0,said u mind go bedroom minute ok sed sexy mood came minuts latr wid caken wife,145
0,hmmm thought said hour slave late punish,94
0,yo guy ever figure much need alcohol jay trying figure much safely spend weed,129
0,got tv watch meh u work today,40
0,ok lor anyway thk cant get ticket co like quite late already u wan go look ur frens darren wif,133
0,thats significant dont worry,34
0,still getting good,32
0,yavnt tried yet never played original either,48
1,free st week nokia tone ur mob every week txt nokia get txting tell ur mate wwwgetzedcouk pobox w wq norm ptone,165
0,ok ill right later,28
0,latebut kwish,42
0,know god created gap finger one made come amp fill gap holding hand love,151
0,boy best get yo as quick,38
0,place want da,30
0,reckon need town eightish walk carpark,61
0,allo braved bus taken train triumphed mean bham jolly good rest week,123
0,sort code acc bank natwest reply confirm ive sent right person,114
0,ssnervous ltgt,26
0,case guess ill see campus lodge,49
0,yes reg ciao,21
0,lol busy,24
0,pandy joined w technology todayhe got job,47
